id,name
entity,0
#thing,1
anything,2
something,3
#nothing,4
#whole,5
living_thing,6
#organism,7
#life,8
biont,9
#cell,10
causal_agent,11
#person,12
#animal,13
#plant,14
#object,15
natural_object,16
#substance,17
#food,18
artifact,19
#article,20
psychological_feature,21
#abstraction,22
cognition,23
#motivation,24
#feeling,25
location,26
#shape,27
#time,28
#space,29
absolute_space,30
#state,31
#event,32
#act,33
#group,34
#possession,35
attribute,36
#relation,37
social_relation,38
#communication,39
#measure,40
#phenomenon,41
#kindness,42
accomplishment,43
#alienation,44
#deed,45
#masterpiece,46
masterstroke,47
#credit,48
#action,49
#course,50
#collision_course,51
#interaction,52
interplay,53
#contact,54
#brush,55
eye_contact,56
#placement,57
#interchange,58
reciprocity,59
dealings,60
#playing,61
#play,62
#bowling,63
derring-do,64
tour_de_force,65
#performance,66
overachievement,67
underachievement,68
#record,69
fait_accompli,70
going,71
#arrival,72
#attainment,73
advent,74
#entrance,75
#incursion,76
#intrusion,77
irruption,78
#entree,79
#registration,80
#appearance,81
#apparition,82
#emergence,83
#reappearance,84
comeback,85
#return,86
repatriation,87
#penetration,88
#interpenetration,89
market_penetration,90
#anchorage,91
docking,92
#landing,93
forced_landing,94
departure,95
breaking_away,96
#farewell,97
French_leave,98
#valediction,99
#disappearance,100
#vanishing,101
#withdrawal,102
#effacement,103
#retirement,104
evacuation,105
medical_evacuation,106
decampment,107
desertion,108
abscondment,109
absence_without_leave,110
deviationism,111
emigration,112
#immigration,113
#retreat,114
standdown,115
disengagement,116
#receding,117
#sailing,118
debarkation,119
going_ashore,120
#boarding,121
#exit,122
elopement,123
#escape,124
running_away,125
#evasion,126
#slip,127
#maneuver,128
#clinch,129
#dodge,130
#break,131
getaway,132
exodus,133
Underground_Railroad,134
close_call,135
#egress,136
surfacing,137
#dispatch,138
reshipment,139
#completion,140
#consummation,141
#realization,142
orgasm,143
male_orgasm,144
#fulfillment,145
self-fulfillment,146
track_record,147
world_record,148
#success,149
#winning,150
#sleeper,151
#hit,152
#bell_ringer,153
#ennoblement,154
#conquest,155
coup,156
flying_colors,157
#passing,158
semester_hour,159
nonaccomplishment,160
#failure,161
#failing,162
naught,163
#cut,164
#default,165
#loss,166
#capitulation,167
#frustration,168
#overturn,169
backsliding,170
recidivism,171
#disappointment,172
#breach,173
copout,174
breach_of_contract,175
anticipatory_breach,176
breach_of_duty,177
breach_of_the_covenant_of_warranty,178
breach_of_promise,179
breach_of_trust,180
breach_of_trust_with_fraudulent_intent,181
breach_of_warranty,182
#leaning,183
material_breach,184
partial_breach,185
#mistake,186
double_fault,187
footfault,188
#error,189
#blot,190
#confusion,191
miscalculation,192
#backfire,193
rounding,194
truncation_error,195
#distortion,196
Freudian_slip,197
#oversight,198
#omission,199
blunder,200
#snafu,201
#spectacle,202
ballup,203
#bull,204
#fumble,205
#fluff,206
faux_pas,207
howler,208
clanger,209
#trip,210
#spill,211
#acquisition,212
acquiring,213
obtainment,214
#catching,215
incurring,216
moneymaking,217
#accession,218
#annexation,219
pork-barreling,220
#purchase,221
#redemption,222
trading,223
bond_trading,224
program_trading,225
short_sale,226
short_covering,227
insider_trading,228
naked_option,229
covered_option,230
#call_option,231
#put_option,232
#straddle,233
incentive_option,234
buying,235
shopping,236
#marketing,237
mail-order_buying,238
viatication,239
#acceptance,240
#succession,241
#assumption,242
#position,243
#inheritance,244
procurement,245
#appropriation,246
#borrowing,247
#naturalization,248
misappropriation,249
#preemption,250
#seizure,251
usurpation,252
confiscation,253
#distress,254
expropriation,255
impoundment,256
#impress,257
#occupation,258
preoccupancy,259
#sequestration,260
#grant,261
#award,262
block_grant,263
#grant-in-aid,264
#capture,265
#apprehension,266
#enslavement,267
#restitution,268
clawback,269
repossession,270
foreclosure,271
#reception,272
#disposal,273
#appointment,274
#comb-out,275
#giving,276
#abandonment,277
#discard,278
#staging,279
mine_disposal,280
minesweeping,281
sewage_disposal,282
private_treaty,283
#auction,284
#bootlegging,285
#capitalization,286
overcapitalization,287
#rally,288
#recovery,289
#reclamation,290
#rescue,291
lifesaving,292
#absolution,293
#conversion,294
#proselytism,295
expiation,296
#reparation,297
#liberation,298
jail_delivery,299
#salvage,300
#salvation,301
search_and_rescue_mission,302
#ransom,303
#recapture,304
implementation,305
#invocation,306
#instrumentation,307
specific_performance,308
#mechanism,309
#service,310
#self-service,311
dramatic_production,312
#encore,313
extemporization,314
#juggle,315
magic_trick,316
#mush,317
musical_performance,318
#one-night_stand,319
#rendition,320
#reinterpretation,321
bowing,322
spiccato,323
#piping,324
stopping,325
double_stopping,326
#transposition,327
jam_session,328
#automation,329
motorization,330
#propulsion,331
#launching,332
rocket_firing,333
blastoff,334
moon_shot,335
#drive,336
#firewall,337
impulse,338
#roll,339
#throw,340
#fling,341
#heave,342
#hurl,343
leaner,344
#pass,345
#pitch,346
#ringer,347
#shy,348
slinging,349
throw-in,350
#balk,351
#ball,352
beanball,353
change-up,354
#curve,355
#duster,356
fastball,357
knuckleball,358
screwball,359
#sinker,360
#slider,361
#spitball,362
#strike,363
submarine_ball,364
wild_pitch,365
basketball_shot,366
bank_shot,367
#dunk,368
slam-dunk,369
finger-roll,370
foul_shot,371
one-and-one,372
hook_shot,373
#jumper,374
lay-up,375
pivot_shot,376
set_shot,377
scoop_shot,378
tip_in,379
#push,380
#depression,381
#click,382
#nudge,383
#press,384
#impression,385
#shove,386
#bundling,387
#jostle,388
elbowing,389
#pull,390
#drag,391
#draw,392
#tow,393
#tug,394
#draft,395
extirpation,396
#pluck,397
traction,398
#lift,399
expulsion,400
defenestration,401
accommodation_reflex,402
Babinski,403
belch,404
belching,405
#blink,406
#blush,407
coughing_up,408
#spit,409
#vomit,410
#rumination,411
hematemesis,412
hyperemesis,413
hyperemesis_gravidarum,414
#cough,415
#jump,416
#header,417
#hop,418
#leap,419
#vault,420
jumping_up_and_down,421
#lob,422
centering,423
sending,424
#transmission,425
#forwarding,426
#referral,427
#remission,428
#mailing,429
wheeling,430
#shooting,431
#shoot,432
countershot,433
#discharge,434
#gun,435
fire_control,436
gunfire,437
#enfilade,438
#headshot,439
skeet,440
shellfire,441
gunfight,442
#potshot,443
#touch,444
#rub,445
#scuff,446
#tap,447
contusion,448
#crash,449
#impingement,450
batting,451
fielding,452
golfing,453
pitching,454
base_on_balls,455
#best,456
#worst,457
fair_ball,458
foul_ball,459
#snick,460
#bunt,461
#fly,462
#blast,463
pop_fly,464
grounder,465
#chop,466
#roller,467
#out,468
putout,469
strikeout,470
#whiff,471
#sacrifice,472
sacrifice_fly,473
base_hit,474
#liner,475
#scorcher,476
line-drive_single,477
line-drive_double,478
line-drive_triple,479
#plunk,480
#homer,481
solo_homer,482
#single,483
#double,484
#triple,485
#clip,486
