id,name
Articles,0
LEDERBERG J,1
RYAN FJ,2
BURKHOLDER PR,3
TATUM EL,4
MORRIS HP,5
WOODS DD,6
IRWIN MR,7
BOIVIN A,8
LAMPEN JO,9
LURIA SE,10
BRAUN W,11
HADDOW A,12
MONOD J,13
FRIES N,14
DEVI P,15
CATCHESIDE DG,16
GILES NH,17
CUTHBERTSON WFJ,18
RUSCH HP,19
BEADLE GW,20
LINDEGREN CC,21
KOSER SA,22
SHENG TC,23
BURNET FM,24
KARLSSON JL,25
VOLCANI BE,26
FLEWETT TH,27
MELLON RR,28
DAVIS BD,29
HUSKINS CL,30
HERSHEY AD,31
HAAS F,32
PEACOCKE AR,33
BONNER DM,34
RUNNSTROM J,35
EPHRUSSI B,36
MUDD S,37
SNELL EE,38
WATSON DW,39
MCCLUNG LS,40
REAUME SE,41
AUERBACH C,42
KNAYSI G,43
NEWCOMBE HB,44
PERKINS DD,45
KOLMARK G,46
GUTHRIE R,47
MILLER H,48
JETER WS,49
CUSHING JE,50
SHAPIRO SK,51
COHEN SS,52
DOUDOROFF M,53
DEMEREC M,54
KLIENEBERGERNOBEL E,55
CAVALLI LL,56
POMPER S,57
MEYERSBURG R,58
PELCZAR MJ,59
PRATT R,60
BRANDIS H,61
HASSID WZ,62
HOROWITZ NH,63
HAAS FL,64
RATNER S,65
ANDERSON TF,66
KRAMPITZ LO,67
KAPLAN RW,68
NICKELL LG,69
BACON GA,70
CHRISTINE 0,71
EISENSTARK A,72
TEAS HJ,73
DAVIS F,74
CLARK JB,75
PLOUGH HH,76
LEVINE HB,77
JOHNSTON RB,78
WYSS O,79
KNIGHT SG,80
SCHLOSSBERGER H,81
WITKIN EM,82
ROBERTS C,83
OEDING P,84
KAPLAN R,85
MARR AG,86
NARAHARA HT,87
HEHRE EJ,88
BERNFELD P,89
PERLMAN D,90
FELDMANN FM,91
SPARROW AH,92
COLOWICK SP,93
BISSET KA,94
STAINER RY,95
CHRISTENSEN JJ,96
COHEN GN,97
KREHL WA,98
ROLAND F,99
HARM W,100
BARKER SA,101
NORDMANN J,102
WHITE LT,103
BOURNE EJ,104
BORGHI LV,105
ATWOOD KC,106
DELAMATER ED,107
HOTCHKISS RD,108
FREDERICQ P,109
COHN M,110
COHENBAZIRE G,111
NELSON TC,112
LIEB M,113
BERTANI G,114
BAILEY NTJ,115
[Anon] .,116
FITTING C,117
ZELLE MR,118
BROWN JS,119
HOFFMAN H,120
BELLINI CC,121
CANIZARES O,122
SMITH W,123
MARSHAK A,124
SMITH FE,125
EDGE JL,126
LEINER M,127
PONTECORVO G,128
BARNER RD,129
TARSHIS MS,130
SIMINOVITCH L,131
WORK TS,132
PRICE WH,133
SPIEGELMAN S,134
ALBAUM HG,135
HESTRIN S,136
ARONSON M,137
LESTER G,138
LANDMAN OE,139
VONDERBANK H,140
LOUTIT JS,141
AUSTRIAN R,142
JORDAN DC,143
MOORE AM,144
TANAKA N,145
ROTHFELS KH,146
LEDERBERG EM,147
FRIED PJ,148
ZINDER ND,149
KANN EE,150
EAGLE H,151
ROESSLER WG,152
HUGHES WH,153
RAVIN AW,154
LEWIN RA,155
ROWLEY D,156
PULVERTAFT RJV,157
GILLESPIE WA,158
VOGEL HJ,159
STRASSMAN M,160
BALLOU CE,161
BEBBINGTON A,162
DEAN ACR,163
GRIGG GW,164
HAYES W,165
MACCACARO GA,166
FAHRAEUS G,167
SMITH FG,168
YANOFSKY C,169
GARBER ED,170
BERRY ME,171
MEFFERD RB,172
ROSE CS,173
WINKLER KC,174
BRYSON V,175
GOLDSTEIN A,176
LEUPOLD U,177
ERIKSEN KR,178
KAUFFMANN F,179
BORSOOK H,180
PUTNAM FW,181
STEVENS CM,182
KLEIN RM,183
WHEELER HE,184
PAN SC,185
WOLLMAN EL,186
ISBELL HS,187
SCHLESINGER RW,188
HEILMAN FR,189
HAUROWITZ F,190
CHIAO JS,191
LECHEVALIER HA,192
RABINOWITZ JC,193
MOROWITZ HJ,194
LWOFF A,195
BENZER S,196
MANTEN A,197
HINSHELWOOD C,198
APPLEYARD RK,199
JACOB F,200
LANNI F,201
BLONDEL B,202
RAUT C,203
SIEGEL RW,204
STOCKER BAD,205
FODA IO,206
ADELBERG EA,207
SNELL N,208
GROMAN NB,209
KLEIN DT,210
SAZ AK,211
GOTS JS,212
GREEN M,213
THAYER PS,214
RICKENBERG HV,215
WALKER JB,216
LEIDY G,217
MITCHISON DA,218
JOHNSTONE KI,219
KOPPEL JL,220
PORTER CJ,221
KUBY SA,222
SALAMON II,223
HINSHELWOOD CN,224
NETER E,225
WOOLLEY DW,226
WATSON JD,227
WEIGLE JJ,228
FISHER R,229
BARON LS,230
FOLEY GE,231
KELETI T,232
LAW LW,233
STACEY M,234
LEWIS D,235
SPINK WW,236
REIMANN HA,237
CHILDS B,238
HASKELL G,239
CANTINO EC,240
SZYBALSKI W,241
EVANS EA,242
THATCHER FS,243
BLAIR MG,244
BERGMANN ED,245
CONCHIE J,246
MARSH CA,247
FRANKLIN R,248
CHALLICE CE,249
LARK KG,250
MINTZ RH,251
WHITFIELD JF,252
WELSCH M,253
RUBIN BA,254
BARKSDALE WL,255
NELSON EV,256
SHIFRINE M,257
GROSS SR,258
BARNER HD,259
FORMAL SB,260
KALAN EB,261
ROTMAN B,262
MUNDKUR BD,263
ELEK SD,264
CLOWES RC,265
HEWITT LF,266
